DATE,DTBSPCKM
2001-01-01,1525105.144531
2001-02-01,1531583.1875
2001-03-01,1523008.169922
2001-04-01,1542318.628906
2001-05-01,1503876.533203
2001-06-01,1504410.226563
2001-07-01,1494671.367188
2001-08-01,1449555.212891
2001-09-01,1456950.224609
2001-10-01,1443845.953125
2001-11-01,1427606.412109
2001-12-01,1437441.886719
2002-01-01,1433274.445313
2002-02-01,1423179.378906
2002-03-01,1400192.734375
2002-04-01,1390283.0000
2002-05-01,1387906.304688
2002-06-01,1372579.439453
2002-07-01,1379209.269531
2002-08-01,1379869.1250
2002-09-01,1360778.777344
2002-10-01,1358560.759766
2002-11-01,1355379.646484
2002-12-01,1352289.363281
2003-01-01,1362756.990234
2003-02-01,1344243.874301
2003-03-01,1349946.572334
2003-04-01,1353585.450312
2003-05-01,1358073.095102
2003-06-01,1349744.389894
2003-07-01,1353001.790006
2003-08-01,1322742.789606
2003-09-01,1321333.533756
2003-10-01,1319421.871357
2003-11-01,1311782.522385
2003-12-01,1284089.92911
2004-01-01,1287793.391222
2004-02-01,1315169.301461
2004-03-01,1323536.577205
2004-04-01,1322150.226761
2004-05-01,1319430.908104
2004-06-01,1322961.596554
2004-07-01,1339263.591098
2004-08-01,1341041.865971
2004-09-01,1341107.923521
2004-10-01,1367523.499677
2004-11-01,1379868.647808
2004-12-01,1403794.463884
2005-01-01,1396980.172063
2005-02-01,1426346.255947
2005-03-01,1436903.252497
2005-04-01,1459904.123051
2005-05-01,1484633.835485
2005-06-01,1514652.397293
2005-07-01,1529849.503168
2005-08-01,1565773.140284
2005-09-01,1597225.761585
2005-10-01,1611880.863234
2005-11-01,1663654.645549
2005-12-01,1661949.40121
2006-01-01,1674528.568772
2006-02-01,1687656.698296
2006-03-01,1709942.83312
2006-04-01,1739066.287449
2006-05-01,1765828.954283
2006-06-01,1776389.334302
2006-07-01,1795960.88084
2006-08-01,1836666.935324
2006-09-01,1886002.164772
2006-10-01,1886733.38053
2006-11-01,1933263.719273
2006-12-01,1982902.385293
2007-01-01,1977630.843428
2007-02-01,2001718.504544
2007-03-01,2034656.184002
2007-04-01,2042221.034624
2007-05-01,2112462.913441
2007-06-01,2149657.01094
2007-07-01,2187926.829476
2007-08-01,1926707.792051
2007-09-01,1871768.251312
2007-10-01,1897814.369899
2007-11-01,1843247.182847
2007-12-01,1780566.440964
2008-01-01,1860732.088099
2008-02-01,1819232.459798
2008-03-01,1821488.885024
2008-04-01,1757978.154117
2008-05-01,1748964.631823
2008-06-01,1741075.102409
2008-07-01,1733033.516693
2008-08-01,1777264.806616
2008-09-01,1624299.140736
2008-10-01,1590302.595979
2008-11-01,1602292.030932
2008-12-01,1658724.147998
2009-01-01,1557416.314031
2009-02-01,1449760.386826
2009-03-01,1488747.82611
2009-04-01,1333932.401197
2009-05-01,1273385.496094
2009-06-01,1228826.387053
2009-07-01,1091477.34375
2009-08-01,1159332.308594
2009-09-01,1280034.138202
2009-10-01,1197193.742686
2009-11-01,1195812.22953
2009-12-01,1148702.99127
2010-01-01,1111874.544592
2010-02-01,1109741.951221
2010-03-01,1091466.956237
2010-04-01,1078073.892264
2010-05-01,1057461.278169
2010-06-01,1041881.367889
2010-07-01,1066072.1491
2010-08-01,1064672.520178
2010-09-01,1103020.489813
2010-10-01,1077522.696601
2010-11-01,1054789.451064
2010-12-01,1036680.54246
2011-01-01,978292.80642
2011-02-01,1030823.232341
2011-03-01,1075634.650718
2011-04-01,1167857.721137
2011-05-01,1175471.109741
2011-06-01,1171181.341821
2011-07-01,1138309.825922
2011-08-01,1091093.87525
2011-09-01,1028529.371364
2011-10-01,1018971.934554
2011-11-01,993211.38141
2011-12-01,937514.520322
2012-01-01,976146.985428
2012-02-01,963887.740041
2012-03-01,936987.082031
2012-04-01,951035.908203
2012-05-01,970939.394531
2012-06-01,965968.067352
2012-07-01,1000450.394531
2012-08-01,996601.882813
2012-09-01,976206.013906
2012-10-01,968092.347656
2012-11-01,984466.956667
2012-12-01,1009761.340469
2013-01-01,1080901.526825
2013-02-01,1044620.56855
2013-03-01,998511.860956
2013-04-01,993655.65412
2013-05-01,1020825.423375
2013-06-01,997554.561667
2013-07-01,983277.602874
2013-08-01,981847.329102
2013-09-01,1010626.803821
2013-10-01,1053904.666407
2013-11-01,1056931.318078
2013-12-01,1039065.159563
2014-01-01,1006642.124932
2014-02-01,1004162.160823
2014-03-01,1000423.669944
2014-04-01,1011392.664074
2014-05-01,1013646.526778
2014-06-01,1023490.550337
2014-07-01,1017840.832184
2014-08-01,1031961.806234
2014-09-01,1034842.237491
2014-10-01,1031831.608106
2014-11-01,1043018.724536
2014-12-01,1015809.828215
2015-01-01,977925.247803
2015-02-01,988892.606499
2015-03-01,984535.043256
2015-04-01,965330.469573
2015-05-01,946466.80301
2015-06-01,986854.016244
2015-07-01,1032852.05131
2015-08-01,1028592.829453
2015-09-01,1025986.147003
2015-10-01,1027217.349436
2015-11-01,1037250.949859
2015-12-01,1026568.919628
2016-01-01,1017117.198242
2016-02-01,1028949.313838
2016-03-01,1099089.532364
2016-04-01,1070474.349287
2016-05-01,1057260.844014
2016-06-01,1048300.198765
2016-07-01,1011740.305043
2016-08-01,962991.447915
2016-09-01,945422.874742
2016-10-01,913185.025653
2016-11-01,905634.003515
2016-12-01,991538.524097
2017-01-01,949623.092903
2017-02-01,950281.091902
2017-03-01,976866.693741
2017-04-01,931640.298235
2017-05-01,944275.953224
2017-06-01,936049.998508
2017-07-01,927980.357188
2017-08-01,966832.769312
2017-09-01,1035441.442617
2017-10-01,1009289.197695
2017-11-01,1009558.816172
2017-12-01,1045814.699555
2018-01-01,1097295.278112
2018-02-01,1080999.699538
2018-03-01,1054259.995058
2018-04-01,1047379.549624
2018-05-01,1072663.590566
2018-06-01,1067594.138149
2018-07-01,1064714.768993
2018-08-01,1060269.144882
2018-09-01,1071557.300504
2018-10-01,1062914.882234
2018-11-01,1069211.224517
2018-12-01,1077831.788929
2019-01-01,1042737.351119
2019-02-01,1046068.961871
2019-03-01,1066166.091759
2019-04-01,1052724.436853
2019-05-01,1060112.476563
2019-06-01,1107522.296875
2019-07-01,1115937.605408
2019-08-01,1110888.054855
2019-09-01,1110108.20047
2019-10-01,1112662.987671
2019-11-01,1123858.473877
2019-12-01,1114235.776123
2020-01-01,1136199.398926
2020-02-01,1127449.14209
2020-03-01,1092539.172485
