DATE,DTBSPCKNMM
2001-01-01,1559985.459503
2001-02-01,1535198.78732
2001-03-01,1532362.41389
2001-04-01,1541506.570824
2001-05-01,1501050.752319
2001-06-01,1472743.177732
2001-07-01,1454735.246253
2001-08-01,1422594.130911
2001-09-01,1437286.902856
2001-10-01,1444110.113994
2001-11-01,1453126.57914
2001-12-01,1469228.64873
2002-01-01,1469086.89381
2002-02-01,1429844.39881
2002-03-01,1406950.871476
2002-04-01,1401172.41842
2002-05-01,1393098.275781
2002-06-01,1343624.418291
2002-07-01,1347146.316131
2002-08-01,1355057.58922
2002-09-01,1335945.20451
2002-10-01,1356068.36283
2002-11-01,1368661.87388
2002-12-01,1370293.14983
2003-01-01,1399448.47237
2003-02-01,1353991.76393
2003-03-01,1354095.59649
2003-04-01,1376242.33844
2003-05-01,1371265.9222
2003-06-01,1323674.08363
2003-07-01,1328761.86452
2003-08-01,1299984.13238
2003-09-01,1291344.920403
2003-10-01,1314185.755212
2003-11-01,1312831.260022
2003-12-01,1288570.732699
2004-01-01,1325244.054818
2004-02-01,1328005.500905
2004-03-01,1324963.004439
2004-04-01,1356489.952941
2004-05-01,1340502.660968
2004-06-01,1299990.175313
2004-07-01,1322739.089442
2004-08-01,1320202.064842
2004-09-01,1305971.992416
2004-10-01,1359560.727447
2004-11-01,1368702.843037
2004-12-01,1395034.959344
2005-01-01,1435160.224002
2005-02-01,1442263.186973
2005-03-01,1435547.188477
2005-04-01,1506113.470234
2005-05-01,1513626.342266
2005-06-01,1494866.770312
2005-07-01,1520940.838657
2005-08-01,1546727.796795
2005-09-01,1556888.275163
2005-10-01,1601094.154006
2005-11-01,1640263.271875
2005-12-01,1640099.500965
2006-01-01,1686893.572512
2006-02-01,1701492.020044
2006-03-01,1697610.98932
2006-04-01,1796983.65585
2006-05-01,1807704.405153
2006-06-01,1764228.294137
2006-07-01,1791952.663605
2006-08-01,1837141.098954
2006-09-01,1864644.643414
2006-10-01,1893183.671339
2006-11-01,1923866.918411
2006-12-01,1957516.589917
2007-01-01,1983883.414839
2007-02-01,2010592.940019
2007-03-01,2003372.600596
2007-04-01,2086718.169142
2007-05-01,2120242.740325
2007-06-01,2109392.944752
2007-07-01,2160725.459285
2007-08-01,1919510.705224
2007-09-01,1857292.871731
2007-10-01,1905719.316901
2007-11-01,1857740.717768
2007-12-01,1788092.726922
2008-01-01,1863966.463783
2008-02-01,1850588.637316
2008-03-01,1784191.272535
2008-04-01,1818506.331571
2008-05-01,1805855.728421
2008-06-01,1748046.620058
2008-07-01,1761731.249941
2008-08-01,1739530.427273
2008-09-01,1554830.148955
2008-10-01,1583723.468991
2008-11-01,1579672.821038
2008-12-01,1599299.379584
2009-01-01,1540910.080139
2009-02-01,1461395.910181
2009-03-01,1423917.86463
2009-04-01,1372467.946141
2009-05-01,1331625.492481
2009-06-01,1278799.281478
2009-07-01,1206054.36118
2009-08-01,1186180.867642
2009-09-01,1169289.67814
2009-10-01,1162598.520574
2009-11-01,1148087.842966
2009-12-01,1137374.37936
2010-01-01,1152593.223486
2010-02-01,1121700.73481
2010-03-01,1080978.95588
2010-04-01,1074683.018067
2010-05-01,1054775.920212
2010-06-01,1028047.054978
2010-07-01,1066462.830686
2010-08-01,1057238.789165
2010-09-01,1050572.594671
2010-10-01,1050556.0175
2010-11-01,1035389.99452
2010-12-01,1057453.26222
2011-01-01,1078039.24545
2011-02-01,1122873.90608
2011-03-01,1131215.62905
2011-04-01,1161091.81058
2011-05-01,1133841.17836
2011-06-01,1081598.184313
2011-07-01,1056764.170493
2011-08-01,1049620.426675
2011-09-01,1004435.831035
2011-10-01,1027103.174655
2011-11-01,1006513.81266
2011-12-01,969232.49264
2012-01-01,1021553.4010
2012-02-01,1014021.87574
2012-03-01,994378.891205
2012-04-01,1019117.469319
2012-05-01,1007427.592129
2012-06-01,962023.929907
2012-07-01,998133.82973
2012-08-01,991027.66794
2012-09-01,957232.540718
2012-10-01,948361.424498
2012-11-01,953311.327998
2012-12-01,952346.495223
2013-01-01,1059882.550543
2013-02-01,1051697.408963
2013-03-01,1001174.221843
2013-04-01,1046795.229303
2013-05-01,1065743.719643
2013-06-01,990551.377502
2013-07-01,1006110.179359
2013-08-01,1003447.903522
2013-09-01,976894.889984
2013-10-01,1008628.926005
2013-11-01,986164.1687
2013-12-01,951631.583486
2014-01-01,1042809.606419
2014-02-01,1050706.73305
2014-03-01,992191.738036
2014-04-01,1066791.696298
2014-05-01,1088765.83008
2014-06-01,1005517.458723
2014-07-01,1030443.56042
2014-08-01,1033248.311121
2014-09-01,996100.5712
2014-10-01,1012145.07765
2014-11-01,1007841.93946
2014-12-01,930385.882527
2015-01-01,1032678.96364
2015-02-01,1037176.528225
2015-03-01,952693.227653
2015-04-01,1011904.340649
2015-05-01,1015007.062298
2015-06-01,978773.056643
2015-07-01,1046079.841665
2015-08-01,1036069.796087
2015-09-01,991262.519812
2015-10-01,1035179.138299
2015-11-01,1023584.614633
2015-12-01,941492.44144
2016-01-01,1026287.43875
2016-02-01,1046011.21859
2016-03-01,1021135.71645
2016-04-01,1089011.423039
2016-05-01,1072933.411129
2016-06-01,1015896.969187
2016-07-01,1022852.587004
2016-08-01,993320.39827
2016-09-01,911318.678495
2016-10-01,939833.016785
2016-11-01,936407.62752
2016-12-01,884870.209877
2017-01-01,947206.587734
2017-02-01,979192.15188
2017-03-01,937154.83311
2017-04-01,984845.378041
2017-05-01,973516.172921
2017-06-01,925651.390371
2017-07-01,970817.456331
2017-08-01,1006643.685971
2017-09-01,982359.987681
2017-10-01,1021039.474181
2017-11-01,1010920.453561
2017-12-01,965932.705591
2018-01-01,1097698.68286
2018-02-01,1101329.18211
2018-03-01,1048475.6646
2018-04-01,1104726.53951
2018-05-01,1122652.5463
2018-06-01,1051522.4342
2018-07-01,1093813.1184
2018-08-01,1075112.1431
2018-09-01,1045549.4469
2018-10-01,1057722.5838
2018-11-01,1053727.2853
2018-12-01,995971.3562
2019-01-01,1080567.133
2019-02-01,1086450.6109
2019-03-01,1071231.3307
2019-04-01,1092176.396
2019-05-01,1103017.251
2019-06-01,1090407.5909
2019-07-01,1116168.3061
2019-08-01,1097781.1245
2019-09-01,1074906.9186
2019-10-01,1088875.2107
2019-11-01,1107514.9393
2019-12-01,1045247.527
2020-01-01,1149845.8615
2020-02-01,1136168.653
2020-03-01,1088764.242
